"location","total_cases","total_deaths"
"Asia","0","0"
"Europe","0","0"
"European Union (27)","0","0"
"High-income countries","0","0"
"Lithuania","0","0"
"Malaysia","0","0"
"World","0","0"
"Upper-middle-income countries","0","0"
